,vdate,num_ospedalizzazioni,final_dg,pressione_mb,mean_temp,min_temp,max_temp,humidity,mean_wind,max_wind,diff_temp,var_press
0,2014-01-01,0,0,1020.0,5.0,-1.0,11.0,84.0,4.0,7.0,12.0,9.0
1,2014-01-02,0,0,1017.0,7.0,3.0,9.0,94.0,4.0,9.0,6.0,7.0
2,2014-01-03,0,0,1019.0,11.0,9.0,13.0,99.0,3.0,9.0,4.0,6.0
3,2014-01-04,0,0,1015.0,14.0,11.0,16.0,88.0,10.0,20.0,5.0,14.5
4,2014-01-05,0,0,1006.0,12.0,7.0,16.0,81.0,12.0,24.0,9.0,19.5
5,2014-01-06,0,0,1019.0,8.0,3.0,15.0,87.0,4.0,11.0,12.0,13.0
6,2014-01-07,0,0,1025.0,8.0,3.0,13.0,92.0,3.0,6.0,10.0,10.0
7,2014-01-08,0,0,1028.0,9.0,4.0,12.0,93.0,3.0,6.0,8.0,6.0
8,2014-01-09,0,0,1024.0,11.0,9.0,15.0,86.0,4.0,9.0,6.0,6.0
9,2014-01-10,0,0,1021.0,11.0,9.0,13.0,90.0,4.0,11.0,4.0,6.0
10,2014-01-11,0,0,1022.0,12.0,8.0,16.0,89.0,3.0,9.0,8.0,7.0
11,2014-01-12,0,0,1022.0,9.0,5.0,15.0,91.0,4.0,7.0,10.0,8.0
12,2014-01-13,0,0,1019.0,7.0,3.0,9.0,95.0,3.0,6.0,6.0,10.0
13,2014-01-14,0,0,1008.0,11.0,8.0,13.0,89.0,11.0,19.0,5.0,10.0
14,2014-01-15,0,0,1011.0,10.0,6.0,14.0,90.0,5.0,9.0,8.0,8.0
15,2014-01-16,0,0,1016.0,8.0,5.0,11.0,93.0,5.0,15.0,6.0,8.0
16,2014-01-17,0,0,1010.0,13.0,10.0,14.0,87.0,9.0,17.0,4.0,9.0
17,2014-01-18,0,0,1008.0,14.0,11.0,16.0,83.0,11.0,15.0,5.0,8.0
18,2014-01-19,0,0,1002.0,13.0,10.0,15.0,89.0,7.0,19.0,5.0,10.0
19,2014-01-20,0,0,1000.0,13.0,10.0,16.0,82.0,8.0,20.0,6.0,9.0
20,2014-01-21,0,0,1004.0,11.0,10.0,14.0,83.0,5.0,9.0,4.0,11.0
21,2014-01-22,0,0,1012.0,11.0,6.0,13.0,85.0,6.0,11.0,7.0,8.0
22,2014-01-23,0,0,1016.0,7.0,2.0,11.0,93.0,4.0,7.0,9.0,7.0
23,2014-01-24,0,0,1006.0,9.0,6.0,11.0,82.0,8.0,20.0,5.0,12.0
24,2014-01-25,0,0,1009.0,9.0,3.0,13.0,57.0,10.0,24.0,10.0,11.0
25,2014-01-26,0,0,1009.0,6.0,0.0,14.0,69.0,8.0,26.0,14.0,12.0
26,2014-01-27,0,0,1001.0,6.0,2.0,8.0,87.0,7.0,20.0,6.0,11.0
27,2014-01-28,0,0,998.0,6.0,1.0,9.0,72.0,9.0,19.0,8.0,10.5
28,2014-01-29,0,0,1004.0,4.0,-1.0,10.0,85.0,7.0,20.0,11.0,9.5
29,2014-01-30,0,0,1006.0,10.0,6.0,12.0,94.0,10.0,26.0,6.0,9.0
30,2014-01-31,0,0,1009.0,11.0,10.0,12.0,95.0,6.0,19.0,2.0,14.0
31,2014-02-01,0,0,1008.0,12.0,9.0,17.0,87.0,10.0,22.0,8.0,8.0
32,2014-02-02,0,0,1007.0,10.0,8.0,12.0,92.0,6.0,11.0,4.0,6.0
33,2014-02-03,0,0,1010.0,12.0,9.0,16.0,84.0,7.0,17.0,7.0,8.0
34,2014-02-04,0,0,1014.0,11.0,9.0,13.0,93.0,5.0,9.0,4.0,6.0
35,2014-02-05,0,0,1012.0,11.0,9.0,13.0,84.0,10.0,19.0,4.0,11.0
36,2014-02-06,0,0,1012.0,11.0,7.0,15.0,77.0,9.0,22.0,8.0,15.0
37,2014-02-07,1,1,1013.0,10.0,4.0,15.0,88.0,8.0,22.0,11.0,9.0
38,2014-02-08,0,0,1009.0,12.0,8.0,14.0,79.0,10.0,20.0,6.0,12.0
39,2014-02-09,0,0,1004.0,12.0,9.0,15.0,74.0,16.0,35.0,6.0,13.0
40,2014-02-10,0,0,1003.0,11.0,9.0,14.0,86.0,12.0,30.0,5.0,17.0
41,2014-02-11,0,0,1004.0,11.0,9.0,14.0,89.0,6.0,15.0,5.0,7.0
42,2014-02-12,0,0,1008.0,10.0,6.0,15.0,83.0,5.0,11.0,9.0,10.0
43,2014-02-13,1,0,1011.0,11.0,6.0,15.0,79.0,8.0,17.0,9.0,15.0
44,2014-02-14,0,0,1011.0,12.0,7.0,18.0,76.0,7.0,22.0,11.0,16.0
45,2014-02-15,0,0,1016.0,12.0,9.0,17.0,81.0,5.0,13.0,8.0,9.0
46,2014-02-16,0,0,1015.0,15.0,11.0,19.0,79.0,7.0,13.0,8.0,4.0
47,2014-02-17,0,0,1015.0,14.0,11.0,16.0,76.0,10.0,24.0,5.0,9.0
48,2014-02-18,1,0,1017.0,13.0,7.0,20.0,76.0,5.0,11.0,13.0,12.5
49,2014-02-19,1,0,1012.0,13.0,11.0,19.0,82.0,8.0,28.0,8.0,12.5
50,2014-02-20,0,0,1012.0,12.0,10.0,14.0,92.0,5.0,9.0,4.0,7.5
51,2014-02-21,0,0,1012.0,12.0,7.0,15.0,85.0,6.0,13.0,8.0,6.5
52,2014-02-22,0,0,1014.0,11.0,7.0,15.0,86.0,8.0,26.0,8.0,11.0
53,2014-02-23,0,0,1021.0,9.0,4.0,15.0,73.0,8.0,20.0,11.0,9.0
54,2014-02-24,0,0,1021.0,9.0,3.0,16.0,66.0,7.0,15.0,13.0,5.0
55,2014-02-25,2,1,1020.0,9.0,2.0,16.0,73.0,5.0,13.0,14.0,6.0
56,2014-02-26,0,0,1020.0,9.0,6.0,11.0,91.0,8.0,17.0,5.0,7.0
57,2014-02-27,0,0,1021.0,8.0,4.0,14.0,87.0,5.0,19.0,10.0,8.0
58,2014-02-28,0,0,1011.0,8.0,7.0,11.0,90.0,8.0,15.0,4.0,14.0
59,2014-03-01,2,1,997.0,9.0,8.0,11.0,83.0,11.0,30.0,3.0,17.0
60,2014-03-02,1,0,998.0,9.0,4.0,15.0,76.0,7.0,17.0,11.0,6.0
61,2014-03-03,2,0,997.0,9.0,2.0,13.0,78.0,5.0,13.0,11.0,12.5
62,2014-03-04,0,0,992.0,10.0,8.0,13.0,75.0,14.0,33.0,5.0,15.5
63,2014-03-05,0,0,1008.0,12.0,9.0,14.0,63.0,11.0,20.0,5.0,13.0
64,2014-03-06,1,0,1017.0,12.0,7.0,16.0,55.0,13.0,30.0,9.0,10.0
65,2014-03-07,1,0,1021.0,14.0,10.0,19.0,51.0,11.0,26.0,9.0,7.0
66,2014-03-08,0,0,1025.0,13.0,10.0,16.0,49.0,16.0,41.0,6.0,8.5
67,2014-03-09,0,0,1027.0,13.0,9.0,17.0,47.0,13.0,28.0,8.0,10.5
68,2014-03-10,2,2,1021.0,12.0,9.0,15.0,53.0,12.0,28.0,6.0,8.5
69,2014-03-11,1,0,1022.0,12.0,9.0,15.0,51.0,14.0,24.0,6.0,12.5
70,2014-03-12,1,0,1028.0,12.0,5.0,19.0,45.0,9.0,19.0,14.0,8.0
71,2014-03-13,0,0,1027.0,12.0,4.0,23.0,55.0,6.0,17.0,19.0,10.0
72,2014-03-14,1,0,1024.0,12.0,3.0,22.0,61.0,5.0,13.0,19.0,9.0
73,2014-03-15,0,0,1019.0,12.0,5.0,18.0,71.0,8.0,24.0,13.0,12.0
74,2014-03-16,0,0,1016.0,13.0,6.0,20.0,74.0,6.0,17.0,14.0,8.0
75,2014-03-17,0,0,1020.0,14.0,8.0,20.0,79.0,5.0,15.0,12.0,11.0
76,2014-03-18,1,1,1021.0,15.0,10.0,20.0,73.0,9.0,19.0,10.0,9.0
77,2014-03-19,0,0,1021.0,14.0,10.0,19.0,78.0,6.0,13.0,9.0,8.0
78,2014-03-20,0,0,1023.0,15.0,6.0,24.0,73.0,6.0,15.0,18.0,8.0
79,2014-03-21,1,0,1020.0,15.0,8.0,21.0,78.0,8.0,17.0,13.0,9.0
80,2014-03-22,0,0,1015.0,15.0,12.0,17.0,79.0,8.0,17.0,5.0,11.0
81,2014-03-23,1,1,1003.0,12.0,8.0,15.0,79.0,13.0,28.0,7.0,16.0
82,2014-03-24,2,0,1006.0,9.0,6.0,13.0,74.0,10.0,19.0,7.0,8.0
83,2014-03-25,0,0,1008.0,9.0,3.0,15.0,70.0,6.0,13.0,12.0,10.0
84,2014-03-26,0,0,1007.0,11.0,8.0,14.0,65.0,15.0,33.0,6.0,7.0
85,2014-03-27,0,0,1005.0,13.0,11.0,15.0,63.0,18.0,28.0,4.0,13.0
86,2014-03-28,0,0,1014.0,15.0,11.0,20.0,55.0,11.0,17.0,9.0,11.0
87,2014-03-29,0,0,1020.0,14.0,5.0,23.0,61.0,8.0,20.0,18.0,10.0
88,2014-03-30,0,0,1018.0,15.0,7.0,22.0,60.0,6.0,17.0,15.0,10.0
89,2014-03-31,0,0,1016.0,13.0,6.0,21.0,67.0,9.0,20.0,15.0,8.0
90,2014-04-01,1,0,1016.0,14.0,10.0,18.0,73.0,10.0,22.0,8.0,5.0
91,2014-04-02,1,0,1015.0,13.0,8.0,20.0,76.0,6.0,11.0,12.0,7.0
92,2014-04-03,1,0,1010.0,15.0,10.0,20.0,69.0,5.0,11.0,10.0,12.0
93,2014-04-04,1,0,1004.0,15.0,13.0,17.0,74.0,9.0,30.0,4.0,13.0
94,2014-04-05,2,1,1008.0,14.0,11.0,19.0,78.0,9.0,22.0,8.0,9.0
95,2014-04-06,0,0,1015.0,16.0,10.0,22.0,67.0,10.0,22.0,12.0,10.0
96,2014-04-07,0,0,1018.0,17.0,9.0,26.0,64.0,7.0,17.0,17.0,11.0
97,2014-04-08,0,0,1019.0,15.0,10.0,21.0,75.0,9.0,22.0,11.0,8.5
98,2014-04-09,1,1,1017.0,17.0,13.0,21.0,69.0,8.0,19.0,8.0,10.5
99,2014-04-10,0,0,1018.0,15.0,7.0,22.0,64.0,11.0,22.0,15.0,8.0
100,2014-04-11,2,0,1017.0,16.0,12.0,22.0,71.0,7.0,19.0,10.0,7.0
101,2014-04-12,0,0,1016.0,15.0,8.0,21.0,74.0,7.0,13.0,13.0,10.0
102,2014-04-13,1,1,1016.0,15.0,11.0,20.0,79.0,6.0,20.0,9.0,5.0
103,2014-04-14,1,0,1016.0,15.0,8.0,22.0,76.0,11.0,28.0,14.0,11.0
104,2014-04-15,1,0,1012.0,14.0,9.0,19.0,61.0,14.0,37.0,10.0,9.5
105,2014-04-16,0,0,1019.0,12.0,7.0,17.0,45.0,14.0,39.0,10.0,5.5
106,2014-04-17,0,0,1018.0,12.0,3.0,19.0,49.0,10.0,22.0,16.0,11.0
107,2014-04-18,0,0,1010.0,12.0,4.0,20.0,64.0,9.0,24.0,16.0,10.0
108,2014-04-19,0,0,1004.0,13.0,11.0,15.0,79.0,13.0,24.0,4.0,5.0
109,2014-04-20,1,0,1006.0,13.0,6.0,21.0,73.0,6.0,15.0,15.0,7.0
110,2014-04-21,0,0,1006.0,15.0,12.0,20.0,72.0,6.0,13.0,8.0,9.0
111,2014-04-22,0,0,1012.0,16.0,12.0,22.0,75.0,5.0,11.0,10.0,10.0
112,2014-04-23,1,0,1014.0,17.0,10.0,24.0,67.0,9.0,20.0,14.0,6.5
